,id,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews
30259,1198025426820944065,San Telmo,-34.62022,-58.36813,Entire home/apt,42009.0,2,11
30260,1198035564713869186,San Nicolas,-34.60481963955262,-58.38412016026812,Entire home/apt,54013.0,2,5
30261,1198045406772030177,Recoleta,-34.591095663662124,-58.3942401991183,Entire home/apt,27001.0,1,6
30262,1198050948514654284,Palermo,-34.5732816,-58.44126209999999,Entire home/apt,55514.0,1,16
30263,1198054579262532067,Balvanera,-34.59823,-58.40851,Entire home/apt,30656.0,2,18
30264,1198059288507476403,Palermo,-34.59068209513402,-58.42553740082157,Entire home/apt,133693.0,1,29
30265,1198078869657492045,Recoleta,-34.59084614298611,-58.40938527874109,Entire home/apt,42009.0,3,4
30266,1198172198410769174,Recoleta,-34.5969284,-58.39061040000001,Entire home/apt,63013.0,2,7
30267,1198192463679171816,Retiro,-34.5979099,-58.3769742,Entire home/apt,36865.0,2,0
30268,1198379110153284369,Belgrano,-34.556856,-58.45679579999999,Entire home/apt,41263.0,1,4
30269,1198401706412773264,Recoleta,-34.5978,-58.40655,Entire home/apt,52511.0,70,0
30270,1198422056797201179,San Nicolas,-34.6051493,-58.38019239999999,Entire home/apt,29574.0,2,4
30272,1198438513928916429,Monserrat,-34.6141346,-58.38918069999999,Entire home/apt,31507.0,2,21
30273,1198483033735471765,Recoleta,-34.589791,-58.39385100000001,Entire home/apt,278308.0,2,1
30274,1198494256349652117,San Nicolas,-34.60738665819596,-58.373407178353446,Entire home/apt,29406.0,1,58
30275,1198520091983631415,Palermo,-34.5730803,-58.4323618,Entire home/apt,37209.0,3,12
30276,1198534596189978297,Colegiales,-34.57817,-58.4419,Entire home/apt,78766.0,3,2
30277,1198560498161508071,Chacarita,-34.580888721898326,-58.459177902606,Entire home/apt,26854.0,4,2
30279,1198582495611494896,Monserrat,-34.611447,-58.3715567,Entire home/apt,21004.0,2,22
30280,1198595530545484862,Retiro,-34.597094287171096,-58.373547440096985,Entire home/apt,31507.0,1,0
30281,1198595531415011517,Villa Crespo,-34.6026664,-58.4490234,Entire home/apt,63013.0,4,0
30282,1198600621619325070,Chacarita,-34.5836,-58.45257,Entire home/apt,21004.0,1,23
30283,1198624015021348586,San Nicolas,-34.60285747146271,-58.39237354695797,Entire home/apt,465099.0,1,3
30284,1198631719781200299,Palermo,-34.58908,-58.43461,Entire home/apt,168035.0,5,1
30285,1198677241899063152,Recoleta,-34.5874278,-58.4001671,Entire home/apt,42009.0,1,2
30286,1198689029802262636,Palermo,-34.579466249631764,-58.43452056850402,Entire home/apt,77716.0,90,0
30287,1198704208293823597,Chacarita,-34.58455,-58.45098,Entire home/apt,29102.0,2,26
30288,1198717126355791972,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,5
30289,1198724012751524745,Monserrat,-34.6115202,-58.37389779999999,Entire home/apt,36758.0,1,40
30290,1198726706973030488,San Nicolas,-34.60347,-58.37952,Entire home/apt,68842.0,2,1
30291,1198734561654882902,Palermo,-34.58693,-58.42331,Entire home/apt,84017.0,4,8
30292,1198765471751255952,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,1
30293,1198767363796405304,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,8
30294,1198793895171748531,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,2
30295,1198794386956261813,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,7
30296,1198798996298993835,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,20
30297,1198802198281890611,Colegiales,-34.580546014644696,-58.44216037541628,Entire home/apt,60167.0,2,4
30298,1198821523692662298,Caballito,-34.6254818,-58.43170899999999,Entire home/apt,36968.0,3,12
30299,1198839115011635718,Chacarita,-34.58932,-58.44513,Private room,23105.0,2,1
30300,1198840399503502876,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,0
30301,1198841557346735987,Palermo,-34.57755,-58.43224,Entire home/apt,36831.0,1,16
30302,1198842469720028543,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,35
30303,1198915707673889624,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,6
30304,1198916564894375685,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,5
30305,1198917160916542343,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,12
30306,1198935052300138386,Retiro,-34.59871379539205,-58.379488054745416,Entire home/apt,44414.0,2,2
30307,1198950944410222210,Palermo,-34.576463,-58.4326211,Entire home/apt,34857.0,1,2
30308,1198951901855244041,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,3
30309,1198952821995731742,Palermo,-34.576463,-58.4326211,Entire home/apt,38816.0,1,20
30310,1198953958860824828,Palermo,-34.576463,-58.4326211,Entire home/apt,38816.0,1,4
30311,1198954855287688594,Palermo,-34.576463,-58.4326211,Entire home/apt,34857.0,1,6
30312,1198961295898091774,Palermo,-34.576463,-58.4326211,Entire home/apt,36831.0,1,26
30313,1199066362591143196,Recoleta,-34.588707,-58.40272139999999,Entire home/apt,43889.0,2,16
30314,1199124621078107079,Retiro,-34.5940995,-58.3857982,Entire home/apt,42009.0,2,1
30315,1199128932288053904,Palermo,-34.5824,-58.42877,Entire home/apt,58047.0,1,2
30316,1199159257495139048,Recoleta,-34.58963233016453,-58.40719867695539,Entire home/apt,64662.0,2,5
30317,1199167524608404515,Recoleta,-34.5967136,-58.38713550000001,Entire home/apt,22055.0,2,9
30318,1199222282340374625,Palermo,-34.5743924,-58.4225523,Entire home/apt,37808.0,1,24
30319,1199239113539797052,Recoleta,-34.59449,-58.39749,Entire home/apt,64515.0,1,23
30321,1199241853009297032,Chacarita,-34.5899637,-58.44907,Entire home/apt,33607.0,3,16
30322,1199248841432435766,Villa Urquiza,-34.5697586,-58.48996129999999,Entire home/apt,42009.0,1,6
30323,1199259638558054858,Palermo,-34.5910821,-58.4254669,Entire home/apt,39562.0,2,23
30324,1199262512045426988,Palermo,-34.5821374,-58.4432202,Entire home/apt,77716.0,3,0
